cell_type,f1,precision,recall,support,representation,train_site,test_site
CD14-positive monocyte,0.9893683552220137,0.9899874843554443,0.98875,800.0,X_scVI,Cambridge,Ncl
"CD16-negative, CD56-bright natural killer cell, human",0.8827586206896553,0.9481481481481482,0.8258064516129032,155.0,X_scVI,Cambridge,Ncl
"CD16-positive, CD56-dim natural killer cell, human",0.9335684891240447,0.9330199764982373,0.9341176470588235,850.0,X_scVI,Cambridge,Ncl
T-helper 22 cell,0.5922165820642977,0.5287009063444109,0.6730769230769231,260.0,X_scVI,Cambridge,Ncl
"central memory CD4-positive, alpha-beta T cell",0.22137404580152673,0.14427860696517414,0.47540983606557374,122.0,X_scVI,Cambridge,Ncl
"effector CD8-positive, alpha-beta T cell",0.780439121756487,0.69449378330373,0.8906605922551253,439.0,X_scVI,Cambridge,Ncl
"effector memory CD8-positive, alpha-beta T cell",0.6907216494845361,0.638095238095238,0.7528089887640449,356.0,X_scVI,Cambridge,Ncl
gamma-delta T cell,0.1015873015873016,0.3333333333333333,0.0599250936329588,267.0,X_scVI,Cambridge,Ncl
mature NK T cell,0.8649425287356322,0.9318885448916409,0.806970509383378,373.0,X_scVI,Cambridge,Ncl
mucosal invariant T cell,0.6397694524495677,0.7025316455696202,0.5873015873015873,189.0,X_scVI,Cambridge,Ncl
naive B cell,1.0,1.0,1.0,278.0,X_scVI,Cambridge,Ncl
"naive thymus-derived CD4-positive, alpha-beta T cell",0.7367716008037508,0.8076358296622613,0.6773399014778325,812.0,X_scVI,Cambridge,Ncl
"naive thymus-derived CD8-positive, alpha-beta T cell",0.6179104477611941,0.711340206185567,0.5461741424802111,379.0,X_scVI,Cambridge,Ncl
