cell_type,f1,precision,recall,support
plasmacytoid dendritic cell,0.9866666666666667,1.0,0.975,13.0
"CD14-low, CD16-positive monocyte",0.96,1.0,0.9333333333333333,2.6
platelet,0.9595926865040892,0.9668485449735449,0.9545295295295295,39.6
"ILC1, human",0.896991896991897,0.8649019607843137,0.9428571428571428,6.6
erythrocyte,0.8966602025425555,0.8714285714285713,0.9595959595959596,10.6
IgA plasma cell,0.8242857142857142,0.96,0.7422222222222221,4.2
T follicular helper cell,0.819974805731508,0.7392879384483583,0.9392367443431272,25.8
myeloid dendritic cell,0.7879829973947621,0.7550283224400871,0.8464145658263306,22.4
"dendritic cell, human",0.7856038742076162,0.8099206349206349,0.7794665138782786,24.0
class switched memory B cell,0.7732115751395947,0.6762400158355668,0.9201754884681714,30.6
dendritic cell,0.7647619047619048,0.9333333333333333,0.7166666666666666,3.2
immature B cell,0.7109043617446978,0.6679120879120879,0.7872633163937511,16.2
natural killer cell,0.6742424242424242,0.775,0.7533333333333333,3.6
"erythroid progenitor cell, mammalian",0.6214285714285713,0.5666666666666667,0.7833333333333333,2.4
"CD4-positive, alpha-beta T cell",0.5333333333333333,0.6,0.5,0.8
B cell,0.49142857142857144,0.72,0.4033333333333333,3.8
regulatory T cell,0.3333333333333333,0.4,0.3,1.6
"CD8-positive, alpha-beta T cell",0.26666666666666666,0.2333333333333333,0.3333333333333333,2.0
"effector memory CD4-positive, alpha-beta T cell",0.2253968253968254,0.4333333333333333,0.175,4.2
"CD34-positive, CD38-negative hematopoietic stem cell",0.21333333333333332,0.3,0.16666666666666666,2.2
T-helper 1 cell,0.17142857142857143,0.3333333333333333,0.13333333333333333,2.4
"group 2 innate lymphoid cell, human",0.13333333333333333,0.2,0.1,1.2
unswitched memory B cell,0.09611111111111112,0.2333333333333333,0.0641025641025641,8.8
IgG plasma cell,0.0,0.0,0.0,1.6
IgM plasma cell,0.0,0.0,0.0,1.0
T-helper 2 cell,0.0,0.0,0.0,0.6
plasmablast,0.0,0.0,0.0,1.4
