cell_type,f1,precision,recall,support
plasmacytoid dendritic cell,0.9866666666666667,1.0,0.975,13.0
erythrocyte,0.9617582417582418,0.9714285714285713,0.9568181818181818,10.6
"CD14-low, CD16-positive monocyte",0.96,1.0,0.9333333333333333,2.6
platelet,0.9461766543966764,0.9391126955832838,0.9553403403403402,39.6
"ILC1, human",0.9145743145743145,0.8696638655462184,0.9714285714285713,6.6
IgA plasma cell,0.8699999999999999,0.9454545454545455,0.831111111111111,4.2
T follicular helper cell,0.8553910764966808,0.7891921956343131,0.944981425194191,25.8
dendritic cell,0.8047619047619048,1.0,0.7166666666666666,3.2
"dendritic cell, human",0.7875827498842183,0.8100166410650281,0.777616501145913,24.0
myeloid dendritic cell,0.7736740913622768,0.7364930162217689,0.8302043054984232,22.4
natural killer cell,0.7611111111111111,0.82,0.8266666666666665,3.6
class switched memory B cell,0.7543534942690359,0.663818634045875,0.9056844239771069,30.6
immature B cell,0.6927350427350427,0.6759056629644865,0.7659244620114185,16.2
"erythroid progenitor cell, mammalian",0.6857142857142857,0.7,0.7833333333333333,2.4
"CD8-positive, alpha-beta T cell",0.5333333333333334,0.6,0.5333333333333333,2.0
"CD4-positive, alpha-beta T cell",0.5333333333333333,0.6,0.5,0.8
"group 2 innate lymphoid cell, human",0.4,0.4,0.4,1.2
B cell,0.39142857142857146,0.5199999999999999,0.3366666666666666,3.8
"CD34-positive, CD38-negative hematopoietic stem cell",0.3466666666666667,0.4,0.36666666666666664,2.2
regulatory T cell,0.3333333333333333,0.4,0.3,1.6
T-helper 1 cell,0.3238095238095238,0.5,0.2833333333333333,2.4
"effector memory CD4-positive, alpha-beta T cell",0.31623376623376626,0.41666666666666663,0.275,4.2
unswitched memory B cell,0.10666666666666669,0.2,0.08205128205128205,8.8
IgG plasma cell,0.0,0.0,0.0,1.6
IgM plasma cell,0.0,0.0,0.0,1.0
T-helper 2 cell,0.0,0.0,0.0,0.6
plasmablast,0.0,0.0,0.0,1.4
