cell_type,f1,precision,recall,support,fold
B cell,0.8,1.0,0.6666666666666666,3.0,1
"CD14-low, CD16-positive monocyte",1.0,1.0,1.0,1.0,1
"CD34-positive, CD38-negative hematopoietic stem cell",0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,1
"CD4-positive, alpha-beta T cell",1.0,1.0,1.0,2.0,1
"CD8-positive, alpha-beta T cell",0.5,1.0,0.3333333333333333,3.0,1
"ILC1, human",0.7499999999999999,0.6,1.0,3.0,1
IgA plasma cell,0.7499999999999999,1.0,0.6,5.0,1
IgG plasma cell,0.0,0.0,0.0,0.0,1
IgM plasma cell,0.0,0.0,0.0,2.0,1
T follicular helper cell,0.7936507936507936,0.6944444444444444,0.9259259259259259,27.0,1
T-helper 1 cell,0.0,0.0,0.0,1.0,1
T-helper 2 cell,0.0,0.0,0.0,1.0,1
class switched memory B cell,0.8936170212765958,0.84,0.9545454545454546,44.0,1
dendritic cell,0.5714285714285715,0.6666666666666666,0.5,4.0,1
"dendritic cell, human",0.8163265306122449,0.7407407407407407,0.9090909090909091,22.0,1
"effector memory CD4-positive, alpha-beta T cell",0.2222222222222222,1.0,0.125,8.0,1
erythrocyte,1.0,1.0,1.0,1.0,1
"erythroid progenitor cell, mammalian",0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,1
"group 2 innate lymphoid cell, human",0.0,0.0,0.0,0.0,1
immature B cell,0.7843137254901961,0.7142857142857143,0.8695652173913043,23.0,1
myeloid dendritic cell,0.8076923076923077,0.875,0.75,28.0,1
natural killer cell,0.888888888888889,1.0,0.8,5.0,1
plasmablast,0.0,0.0,0.0,3.0,1
plasmacytoid dendritic cell,1.0,1.0,1.0,22.0,1
platelet,0.962962962962963,0.9285714285714286,1.0,26.0,1
regulatory T cell,0.8,1.0,0.6666666666666666,3.0,1
unswitched memory B cell,0.4444444444444444,0.6666666666666666,0.3333333333333333,6.0,1
