cell_type,f1,precision,recall,support
plasmacytoid dendritic cell,0.9786666666666667,0.9846153846153847,0.975,13.0
"CD14-low, CD16-positive monocyte",0.96,1.0,0.9333333333333333,2.6
erythrocyte,0.9333333333333333,0.9442307692307692,0.9305555555555556,10.6
platelet,0.9330945604162906,0.9206142667832579,0.95005005005005,39.6
immature B cell,0.8539334372562045,0.7834906270200388,0.9396273291925465,16.2
IgA plasma cell,0.835,0.9428571428571428,0.7644444444444444,4.2
class switched memory B cell,0.8245982036132646,0.7544682539682539,0.9109803475657134,30.6
"erythroid progenitor cell, mammalian",0.8076190476190476,0.7466666666666667,0.9333333333333332,2.4
"ILC1, human",0.8029971988795518,0.7025396825396826,0.9714285714285713,6.6
T follicular helper cell,0.7953354641205108,0.7193468013468014,0.9024800180119328,25.8
"dendritic cell, human",0.7470116063338655,0.7482180782180782,0.7753756047873696,24.0
myeloid dendritic cell,0.727107088989442,0.7315476190476191,0.7553558206499383,22.4
regulatory T cell,0.6933333333333334,0.8,0.6333333333333333,1.6
dendritic cell,0.6706959706959708,0.7476190476190476,0.7,3.2
"CD4-positive, alpha-beta T cell",0.6,0.6,0.6,0.8
B cell,0.5930769230769231,0.65,0.5766666666666667,3.8
natural killer cell,0.5711111111111111,0.7,0.5599999999999999,3.6
"CD34-positive, CD38-negative hematopoietic stem cell",0.4333333333333333,0.5333333333333333,0.4,2.2
"CD8-positive, alpha-beta T cell",0.4333333333333333,0.5333333333333333,0.4,2.0
T-helper 1 cell,0.37142857142857144,0.5333333333333333,0.33333333333333337,2.4
unswitched memory B cell,0.3705050505050505,0.5322222222222222,0.2897435897435897,8.8
"effector memory CD4-positive, alpha-beta T cell",0.19444444444444445,0.35,0.175,4.2
IgM plasma cell,0.0,0.0,0.0,1.0
IgG plasma cell,0.0,0.0,0.0,1.6
T-helper 2 cell,0.0,0.0,0.0,0.6
"group 2 innate lymphoid cell, human",0.0,0.0,0.0,1.2
plasmablast,0.0,0.0,0.0,1.4
