label_seed,scheme,representation,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,n_evaluations,n_classes,chance_macro_f1
1000,donor_cv,harmony,0.07247095846006921,0.0045624839439059725,0.07978663904516098,0.003830912263283308,5,13,0.07692307692307693
1000,donor_cv,hvg,0.07800629917690462,0.00689198808859244,0.07878910566365785,0.006803077168487294,5,13,0.07692307692307693
1000,donor_cv,pca,0.06982824240469092,0.0036607138827154453,0.0784599778209139,0.0033733242422254975,5,13,0.07692307692307693
1000,donor_cv,scvi,0.0687953735136008,0.009429655650140301,0.07842287507501378,0.006768807290035389,5,13,0.07692307692307693
1000,random_split,harmony,0.08049593625307,,0.08753709198813056,,1,13,0.07692307692307693
1000,random_split,hvg,0.08145308079376486,,0.08160237388724036,,1,13,0.07692307692307693
1000,random_split,pca,0.0749564972197909,,0.0830860534124629,,1,13,0.07692307692307693
1000,random_split,scvi,0.061333662914369924,,0.0712166172106825,,1,13,0.07692307692307693
1001,donor_cv,harmony,0.06934763565954663,0.007497906069284704,0.07313231689224471,0.0062341821624574845,5,13,0.07692307692307693
1001,donor_cv,hvg,0.0759263303487622,0.004590873046834851,0.07641363145859878,0.004789828920661393,5,13,0.07692307692307693
1001,donor_cv,pca,0.06745684033934951,0.004251978153475276,0.0723476026087441,0.003361016238228469,5,13,0.07692307692307693
1001,donor_cv,scvi,0.0642047607441117,0.006159245123187375,0.07582456144916154,0.008183718427907,5,13,0.07692307692307693
1001,random_split,harmony,0.06988909506789419,,0.0722057368941642,,1,13,0.07692307692307693
1001,random_split,hvg,0.07089481536056251,,0.0712166172106825,,1,13,0.07692307692307693
1001,random_split,pca,0.06845798416832237,,0.07171117705242334,,1,13,0.07692307692307693
1001,random_split,scvi,0.06124111282850637,,0.06923837784371908,,1,13,0.07692307692307693
1002,donor_cv,harmony,0.070358940336308,0.005641797278250158,0.07325319202504868,0.006050687757039592,5,13,0.07692307692307693
1002,donor_cv,hvg,0.07473171927804126,0.0075165419818332135,0.07481787022861108,0.007475257742857465,5,13,0.07692307692307693
1002,donor_cv,pca,0.07128621332966796,0.0031626173385173335,0.07656793322531663,0.004085614871102069,5,13,0.07692307692307693
